"","X","Y","NE_ID","LONGITUDE","LATITUDE","geometry","lon_diff","lat_diff"
"6173",-77.6218956,43.1723715,1159149117,-77.61995,43.170426,c(-77.6218956487496, 43.1723714964974),1,1
"6174",-2.249933,53.5023611,1159149119,-2.247987,53.500415,c(-2.24993296127349, 53.5023611205623),1,1
"6175",74.1830761,32.1623717,1159149121,74.185022,32.160426,c(74.1830760722354, 32.1623716999038),1,1
"6176",126.6402876,37.4780937,1159149125,126.642233,37.476148,c(126.640287579607, 37.4780937458236),1,1
"6177",5.6180622,6.3424232,1159149127,5.620008,6.340477,c(5.61806223732572, 6.34242317278233),1,1
"6178",118.0780712,24.4519379,1159149129,118.080017,24.449992,c(118.078071189599, 24.4519379433626),1,1
"6179",106.1280513,30.7823784,1159149131,106.129997,30.780433,c(106.1280512514, 30.7823784137655),1,1
"6180",105.0480655,29.5823225,1159149133,105.050011,29.580377,c(105.048065492932, 29.5823224648676),1,1
"6181",112.528074,33.0023463,1159149135,112.53002,33.0004,c(112.528074037884, 33.0023462685923),1,1
"6182",120.8280325,40.7522867,1159149137,120.829978,40.750341,c(120.828032534011, 40.7522866576206),1,1
"6183",121.3980753,37.532354,1159149139,121.400021,37.530408,c(121.398075258622, 37.5323539997301),1,1
"6184",117.5680765,34.8819473,1159149143,117.570022,34.880001,c(117.56807647931, 34.8819473021284),1,1
"6185",120.6180712,31.3024242,1159149145,120.620017,31.300478,c(120.618071189609, 31.302424190135),1,1
"6186",117.1780744,34.2819581,1159149147,117.18002,34.280012,c(117.178074444803, 34.2819580850035),1,1
"6187",120.298039,31.581942,1159149149,120.299985,31.579996,c(120.298039044425, 31.5819420124014),1,1
"6188",126.5480968,43.8519166,1159149151,126.550043,43.849971,c(126.548096824398, 43.8519165811355),1,1
"6189",76.7780598,30.7219428,1159149153,76.780006,30.719997,c(76.7780597962042, 30.7219428262001),1,1
"6190",74.8447928,32.7137334,1159149155,74.846739,32.711788,c(74.8447927877328, 32.7137333942422),1,1
"6191",75.8980618,17.6723518,1159149157,75.900008,17.670406,c(75.8980618307057, 17.6723517616949),1,1
"6192",75.3183556,19.8976423,1159149161,75.320301,19.895696,c(75.3183556132556, 19.8976422890476),1,1
"6193",73.7780362,20.0023646,1159149163,73.779982,20.000419,c(73.7780361959317, 20.002364579087),1,1
"6195",75.5670743,31.3368665,1159149167,75.56902,31.334921,c(75.5670742818764, 31.3368665322572),1,1
"6196",81.838061,25.4569412,1159149169,81.840007,25.454995,c(81.8380610169274, 25.456941198575),1,1
"6197",78.7548384,28.8437371,1159149171,78.756784,28.841791,c(78.7548383606651, 28.8437370563359),1,1
"6198",77.4064452,28.6623269,1159149173,77.408391,28.660381,c(77.4064452128733, 28.6623269407753),1,1
"6199",78.0130749,27.1723662,1159149175,78.015021,27.17042,c(78.0130748515476, 27.1723662067198),1,1
